id_log,nivel,servicio,evento,duracion_ms,timestamp
L-0000208,INFO,validador,auditoria_diaria,90,2026-04-15T07:44:01
L-0000209,INFO,etl,reporte,262,2026-04-15T10:04:41
L-0000210,INFO,simulador,reporte,26,2026-04-15T09:28:43
L-0000211,INFO,auditoria,reporte,114,2026-04-15T13:44:10
L-0000212,INFO,streamlit,registro,73,2026-04-15T11:10:19
L-0000213,WARNING,streamlit,validacion,533,2026-04-15T07:19:21
L-0000214,INFO,streamlit,agregacion,313,2026-04-15T12:07:28
L-0000215,INFO,etl,agregacion,260,2026-04-15T15:36:27
L-0000216,INFO,validador,reporte,249,2026-04-15T16:40:57
L-0000217,INFO,validador,agregacion,37,2026-04-15T07:49:33
L-0000218,INFO,validador,auditoria_diaria,87,2026-04-15T16:47:49
L-0000219,INFO,auditoria,agregacion,208,2026-04-15T15:42:12
L-0000220,INFO,validador,registro,23,2026-04-15T14:10:04
L-0000221,INFO,streamlit,registro,303,2026-04-15T08:44:58
L-0000222,INFO,auditoria,auditoria_diaria,37,2026-04-15T12:19:49
L-0000223,INFO,streamlit,agregacion,171,2026-04-15T11:43:24
L-0000224,INFO,streamlit,registro,139,2026-04-15T13:06:05
L-0000225,INFO,simulador,voto_emitido,280,2026-04-15T07:23:32
L-0000226,INFO,streamlit,voto_emitido,280,2026-04-15T15:50:36
L-0000227,INFO,streamlit,reporte,132,2026-04-15T16:12:57
L-0000228,INFO,etl,agregacion,286,2026-04-15T08:36:25
L-0000229,INFO,simulador,auditoria_diaria,63,2026-04-15T13:52:35
L-0000230,INFO,validador,voto_emitido,97,2026-04-15T07:00:21
L-0000231,ERROR,streamlit,voto_emitido,584,2026-04-15T15:31:53
L-0000232,INFO,validador,voto_emitido,185,2026-04-15T07:10:49
L-0000233,INFO,streamlit,agregacion,100,2026-04-15T09:21:34
L-0000234,INFO,simulador,reporte,69,2026-04-15T11:08:57
L-0000235,WARNING,streamlit,reporte,598,2026-04-15T14:52:59
L-0000236,INFO,streamlit,registro,284,2026-04-15T11:00:00
L-0000237,INFO,etl,reporte,207,2026-04-15T09:13:03
L-0000238,INFO,simulador,agregacion,280,2026-04-15T09:58:35
L-0000239,INFO,streamlit,auditoria_diaria,20,2026-04-15T15:09:05
L-0000240,INFO,simulador,voto_emitido,136,2026-04-15T11:16:48
L-0000241,INFO,streamlit,validacion,255,2026-04-15T12:13:07
L-0000242,INFO,auditoria,agregacion,118,2026-04-15T14:44:19
L-0000243,INFO,validador,auditoria_diaria,304,2026-04-15T08:49:48
L-0000244,INFO,simulador,voto_emitido,253,2026-04-15T09:46:11
L-0000245,INFO,etl,validacion,308,2026-04-15T11:37:38
L-0000246,INFO,streamlit,auditoria_diaria,265,2026-04-15T13:43:55
L-0000247,INFO,streamlit,agregacion,260,2026-04-15T07:39:33
L-0000248,WARNING,validador,voto_emitido,527,2026-04-15T13:18:43
L-0000249,INFO,simulador,validacion,280,2026-04-15T09:12:14
L-0000250,INFO,etl,validacion,47,2026-04-15T16:45:38
L-0000251,WARNING,etl,registro,586,2026-04-15T10:47:48
L-0000252,INFO,simulador,validacion,221,2026-04-15T12:56:02
L-0000253,INFO,streamlit,voto_emitido,235,2026-04-15T08:56:49
L-0000254,INFO,validador,reporte,111,2026-04-15T11:35:12
L-0000255,INFO,simulador,agregacion,313,2026-04-15T08:47:10
L-0000256,INFO,streamlit,validacion,98,2026-04-15T07:41:59
L-0000257,INFO,validador,agregacion,152,2026-04-15T10:08:17
L-0000258,INFO,simulador,agregacion,81,2026-04-15T15:43:10
L-0000259,INFO,auditoria,registro,124,2026-04-15T08:23:59
L-0000260,INFO,simulador,reporte,259,2026-04-15T10:39:10
L-0000261,WARNING,streamlit,reporte,397,2026-04-15T08:41:38
L-0000262,INFO,simulador,validacion,154,2026-04-15T14:51:37
L-0000263,INFO,simulador,agregacion,102,2026-04-15T07:56:15
L-0000264,ERROR,auditoria,auditoria_diaria,1136,2026-04-15T13:45:25
L-0000265,INFO,streamlit,agregacion,137,2026-04-15T11:05:06
L-0000266,INFO,etl,agregacion,84,2026-04-15T11:54:01
L-0000267,INFO,auditoria,agregacion,288,2026-04-15T15:51:22
L-0000268,INFO,streamlit,auditoria_diaria,35,2026-04-15T09:54:22
L-0000269,INFO,validador,agregacion,297,2026-04-15T11:28:49
L-0000270,INFO,streamlit,reporte,121,2026-04-15T09:07:45
L-0000271,INFO,streamlit,registro,154,2026-04-15T12:29:51
L-0000272,INFO,etl,auditoria_diaria,157,2026-04-15T11:08:33
L-0000273,INFO,streamlit,auditoria_diaria,146,2026-04-15T15:23:54
L-0000274,ERROR,etl,auditoria_diaria,1748,2026-04-15T14:49:13
L-0000275,INFO,streamlit,registro,223,2026-04-15T12:39:26
L-0000276,INFO,simulador,validacion,17,2026-04-15T09:33:03
L-0000277,INFO,etl,auditoria_diaria,314,2026-04-15T13:41:27
L-0000278,INFO,streamlit,registro,151,2026-04-15T09:08:34
L-0000279,WARNING,simulador,voto_emitido,468,2026-04-15T11:10:24
L-0000280,INFO,validador,registro,160,2026-04-15T08:55:18
L-0000281,INFO,streamlit,auditoria_diaria,23,2026-04-15T15:49:56
L-0000282,INFO,validador,voto_emitido,15,2026-04-15T10:19:05
L-0000283,INFO,simulador,voto_emitido,176,2026-04-15T14:58:33
L-0000284,INFO,streamlit,reporte,59,2026-04-15T08:23:41
L-0000285,INFO,simulador,registro,65,2026-04-15T12:57:49
L-0000286,INFO,validador,validacion,25,2026-04-15T16:30:17
L-0000287,INFO,streamlit,voto_emitido,154,2026-04-15T07:34:31
L-0000288,INFO,streamlit,registro,307,2026-04-15T14:08:36
L-0000289,WARNING,simulador,voto_emitido,253,2026-04-15T14:28:54
L-0000290,INFO,simulador,registro,170,2026-04-15T14:13:16
L-0000291,INFO,simulador,voto_emitido,279,2026-04-15T15:13:15
L-0000292,INFO,auditoria,reporte,284,2026-04-15T11:46:02
L-0000293,ERROR,etl,agregacion,503,2026-04-15T12:17:07
L-0000294,INFO,streamlit,voto_emitido,170,2026-04-15T09:56:14
L-0000295,ERROR,etl,auditoria_diaria,1861,2026-04-15T08:40:36
L-0000296,INFO,validador,validacion,152,2026-04-15T15:30:15
L-0000297,WARNING,etl,auditoria_diaria,486,2026-04-15T10:17:44
L-0000298,ERROR,etl,agregacion,582,2026-04-15T12:32:54
L-0000299,INFO,auditoria,voto_emitido,308,2026-04-15T10:22:03
L-0000300,WARNING,simulador,validacion,171,2026-04-15T09:57:31
L-0000301,INFO,auditoria,agregacion,265,2026-04-15T07:55:13
L-0000302,INFO,simulador,auditoria_diaria,232,2026-04-15T07:13:41
L-0000303,INFO,etl,voto_emitido,312,2026-04-15T08:41:47
L-0000304,INFO,streamlit,reporte,84,2026-04-15T13:45:24
L-0000305,INFO,etl,voto_emitido,165,2026-04-15T09:59:39
L-0000306,WARNING,simulador,registro,183,2026-04-15T14:15:58
L-0000307,ERROR,validador,registro,1977,2026-04-15T15:34:14
L-0000308,WARNING,simulador,validacion,321,2026-04-15T15:13:17
L-0000309,ERROR,simulador,reporte,438,2026-04-15T08:36:02
L-0000310,WARNING,simulador,agregacion,767,2026-04-15T12:11:21
L-0000311,INFO,validador,auditoria_diaria,192,2026-04-15T09:14:55
L-0000312,ERROR,etl,voto_emitido,2015,2026-04-15T08:25:34
L-0000313,INFO,etl,registro,20,2026-04-15T11:36:50
L-0000314,INFO,streamlit,validacion,306,2026-04-15T09:29:43
L-0000315,ERROR,validador,voto_emitido,2186,2026-04-15T14:07:37
L-0000316,INFO,streamlit,validacion,281,2026-04-15T11:27:04
L-0000317,ERROR,auditoria,validacion,2143,2026-04-15T13:35:14
L-0000318,INFO,validador,auditoria_diaria,243,2026-04-15T12:47:11
L-0000319,WARNING,streamlit,auditoria_diaria,682,2026-04-15T15:04:47
L-0000320,INFO,auditoria,voto_emitido,231,2026-04-15T10:39:33
L-0000321,INFO,simulador,agregacion,254,2026-04-15T10:25:59
L-0000322,INFO,simulador,validacion,279,2026-04-15T10:04:25
L-0000323,WARNING,streamlit,validacion,486,2026-04-15T12:27:54
L-0000324,INFO,etl,auditoria_diaria,271,2026-04-15T11:11:55
L-0000325,INFO,streamlit,reporte,230,2026-04-15T08:38:55
L-0000326,INFO,etl,voto_emitido,68,2026-04-15T14:40:39
L-0000327,WARNING,validador,validacion,657,2026-04-15T11:15:45
L-0000328,INFO,etl,reporte,209,2026-04-15T13:42:54
L-0000329,INFO,simulador,auditoria_diaria,78,2026-04-15T14:59:53
L-0000330,WARNING,streamlit,registro,703,2026-04-15T14:45:13
L-0000331,INFO,etl,validacion,232,2026-04-15T10:02:40
L-0000332,WARNING,etl,agregacion,426,2026-04-15T11:16:11
L-0000333,WARNING,streamlit,validacion,478,2026-04-15T13:26:50
L-0000334,INFO,etl,auditoria_diaria,190,2026-04-15T15:03:07
L-0000335,INFO,etl,validacion,223,2026-04-15T16:04:46
L-0000336,INFO,auditoria,validacion,260,2026-04-15T10:30:32
L-0000337,INFO,simulador,reporte,260,2026-04-15T11:03:35
L-0000338,ERROR,etl,agregacion,2453,2026-04-15T16:06:43
L-0000339,WARNING,simulador,registro,519,2026-04-15T09:07:03
L-0000340,INFO,simulador,auditoria_diaria,190,2026-04-15T15:17:35
L-0000341,INFO,simulador,voto_emitido,283,2026-04-15T12:27:13
L-0000342,INFO,etl,reporte,44,2026-04-15T16:43:47
L-0000343,INFO,streamlit,registro,289,2026-04-15T11:21:52
L-0000344,INFO,etl,validacion,309,2026-04-15T15:48:27
L-0000345,ERROR,validador,validacion,910,2026-04-15T16:36:43
L-0000346,INFO,auditoria,agregacion,81,2026-04-15T12:07:42
L-0000347,INFO,simulador,voto_emitido,107,2026-04-15T16:18:01
L-0000348,INFO,etl,auditoria_diaria,29,2026-04-15T14:52:43
L-0000349,INFO,validador,validacion,272,2026-04-15T09:25:38
L-0000350,INFO,auditoria,auditoria_diaria,307,2026-04-15T08:42:36
L-0000351,INFO,streamlit,agregacion,249,2026-04-15T12:00:49
L-0000352,INFO,validador,reporte,30,2026-04-15T14:16:15
L-0000353,WARNING,etl,registro,217,2026-04-15T15:02:12
L-0000354,INFO,simulador,validacion,17,2026-04-15T14:46:02
L-0000355,ERROR,etl,agregacion,1521,2026-04-15T08:08:30
L-0000356,ERROR,validador,validacion,899,2026-04-15T11:15:30
L-0000357,INFO,streamlit,registro,231,2026-04-15T07:40:43
L-0000358,INFO,streamlit,validacion,181,2026-04-15T10:27:02
L-0000359,INFO,streamlit,agregacion,282,2026-04-15T10:25:31
L-0000360,WARNING,etl,reporte,232,2026-04-15T08:48:28
L-0000361,INFO,validador,voto_emitido,70,2026-04-15T16:57:02
L-0000362,WARNING,auditoria,voto_emitido,228,2026-04-15T12:34:59
L-0000363,INFO,simulador,registro,315,2026-04-15T07:59:13
L-0000364,INFO,simulador,reporte,313,2026-04-15T16:28:12
L-0000365,INFO,streamlit,agregacion,298,2026-04-15T15:30:54
L-0000366,INFO,simulador,voto_emitido,105,2026-04-15T08:30:48
L-0000367,INFO,simulador,agregacion,319,2026-04-15T09:09:23
L-0000368,INFO,streamlit,registro,225,2026-04-15T15:12:52
L-0000369,INFO,simulador,auditoria_diaria,123,2026-04-15T12:10:08
L-0000370,INFO,auditoria,registro,201,2026-04-15T11:06:22
L-0000371,WARNING,simulador,agregacion,313,2026-04-15T10:25:39
L-0000372,WARNING,etl,reporte,299,2026-04-15T11:08:00
L-0000373,WARNING,streamlit,auditoria_diaria,284,2026-04-15T11:11:49
L-0000374,INFO,simulador,agregacion,108,2026-04-15T15:37:10
L-0000375,INFO,auditoria,auditoria_diaria,255,2026-04-15T07:57:39
L-0000376,INFO,etl,auditoria_diaria,139,2026-04-15T14:23:15
L-0000377,INFO,simulador,auditoria_diaria,96,2026-04-15T13:28:41
L-0000378,INFO,etl,auditoria_diaria,206,2026-04-15T14:38:15
L-0000379,INFO,simulador,agregacion,224,2026-04-15T12:42:29
L-0000380,INFO,etl,validacion,285,2026-04-15T09:40:10
L-0000381,INFO,validador,auditoria_diaria,311,2026-04-15T11:51:49
L-0000382,WARNING,etl,voto_emitido,155,2026-04-15T11:14:09
L-0000383,INFO,auditoria,reporte,187,2026-04-15T11:55:16
L-0000384,INFO,simulador,voto_emitido,153,2026-04-15T15:00:54
L-0000385,INFO,validador,registro,24,2026-04-15T08:23:30
L-0000386,INFO,simulador,auditoria_diaria,260,2026-04-15T12:55:26
L-0000387,INFO,streamlit,registro,90,2026-04-15T09:27:29
L-0000388,INFO,etl,reporte,20,2026-04-15T13:34:11
L-0000389,INFO,validador,registro,315,2026-04-15T10:40:57
L-0000390,ERROR,simulador,voto_emitido,881,2026-04-15T13:02:38
L-0000391,INFO,simulador,voto_emitido,236,2026-04-15T11:07:52
L-0000392,INFO,auditoria,auditoria_diaria,192,2026-04-15T10:09:38
L-0000393,INFO,validador,registro,32,2026-04-15T15:50:54
L-0000394,INFO,simulador,voto_emitido,262,2026-04-15T13:38:25
L-0000395,INFO,etl,voto_emitido,216,2026-04-15T09:19:44
L-0000396,INFO,streamlit,agregacion,268,2026-04-15T09:08:27
L-0000397,INFO,simulador,agregacion,195,2026-04-15T11:54:09
L-0000398,INFO,etl,validacion,18,2026-04-15T14:39:43
L-0000399,INFO,streamlit,registro,130,2026-04-15T08:19:40
L-0000400,INFO,auditoria,validacion,288,2026-04-15T08:52:24
L-0000401,INFO,etl,registro,205,2026-04-15T14:07:40
