id_ciudadano,edad,genero,comuna_id,comuna,perfil_territorial,validado,voto_emitido,fecha_registro
C-0000145,83,F,9,Buenos Aires,ladera_oriente,True,False,2026-04-15T10:49:10
C-0000146,33,F,5,Castilla,valle,True,True,2026-04-15T07:58:57
C-0000147,42,F,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T10:48:58
C-0000148,48,M,10,La Candelaria,centro,True,True,2026-04-15T10:39:13
C-0000149,71,F,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T11:13:52
C-0000150,83,M,1,Popular,ladera_norte,False,False,2026-04-15T10:04:02
C-0000151,24,F,15,Guayabal,sur,True,True,2026-04-15T11:18:16
C-0000152,50,M,16,Belen,sur,True,False,2026-04-15T11:18:48
C-0000153,68,M,3,Manrique,ladera_norte,False,False,2026-04-15T10:28:20
C-0000154,18,M,10,La Candelaria,centro,True,True,2026-04-15T10:15:02
C-0000155,72,M,2,Santa Cruz,ladera_norte,False,False,2026-04-15T11:29:13
C-0000156,34,F,12,La America,centro_sur,True,True,2026-04-15T08:22:34
C-0000157,52,M,5,Castilla,valle,True,False,2026-04-15T12:24:53
C-0000158,83,M,12,La America,centro_sur,True,True,2026-04-15T11:58:11
C-0000159,60,F,13,San Javier,ladera_occidente,True,True,2026-04-15T10:10:08
C-0000160,84,No reporta,14,El Poblado,sur,True,True,2026-04-15T12:00:59
C-0000161,58,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T11:06:34
C-0000162,32,M,16,Belen,sur,True,True,2026-04-15T09:36:12
C-0000163,64,F,4,Aranjuez,valle,True,False,2026-04-15T09:39:32
C-0000164,59,M,1,Popular,ladera_norte,False,False,2026-04-15T10:32:49
C-0000165,38,F,10,La Candelaria,centro,True,True,2026-04-15T08:45:12
C-0000166,23,F,7,Robledo,ladera_noroccidente,False,False,2026-04-15T10:15:43
C-0000167,61,F,15,Guayabal,sur,True,True,2026-04-15T09:33:19
C-0000168,56,No reporta,15,Guayabal,sur,True,True,2026-04-15T10:10:16
C-0000169,69,F,6,Doce de Octubre,ladera_noroccidente,False,False,2026-04-15T09:31:42
C-0000170,26,M,60,San Cristobal,rural,True,True,2026-04-15T07:57:03
C-0000171,54,M,6,Doce de Octubre,ladera_noroccidente,True,True,2026-04-15T11:05:00
C-0000172,72,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T09:58:11
C-0000173,77,F,5,Castilla,valle,True,True,2026-04-15T08:28:51
C-0000174,80,M,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T08:37:32
C-0000175,32,M,3,Manrique,ladera_norte,False,False,2026-04-15T10:04:48
C-0000176,29,,1,Popular,ladera_norte,True,False,2026-04-15T11:29:21
C-0000177,56,F,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T08:46:25
C-0000178,49,M,90,Santa Elena,rural,False,False,2026-04-15T11:44:38
C-0000179,33,F,16,Belen,sur,True,True,2026-04-15T11:29:11
C-0000180,24,F,13,San Javier,ladera_occidente,True,False,2026-04-15T07:35:36
C-0000181,27,F,16,Belen,sur,False,False,2026-04-15T08:11:19
C-0000182,40,M,16,Belen,sur,False,False,2026-04-15T11:11:01
C-0000183,67,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T10:15:39
C-0000184,22,M,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T08:04:27
C-0000185,25,M,14,El Poblado,sur,True,True,2026-04-15T12:27:14
C-0000186,35,F,12,La America,centro_sur,True,False,2026-04-15T07:32:57
C-0000187,76,F,7,Robledo,ladera_noroccidente,False,True,2026-04-15T09:30:59
C-0000188,84,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T07:34:06
C-0000189,47,F,13,San Javier,ladera_occidente,False,False,2026-04-15T12:02:00
C-0000190,20,F,5,Castilla,valle,True,True,2026-04-15T09:49:48
C-0000191,18,M,50,San Sebastian de Palmitas,rural,True,False,2026-04-15T10:36:23
C-0000192,75,F,5,Castilla,valle,False,False,2026-04-15T11:34:14
C-0000193,47,F,3,Manrique,ladera_norte,True,True,2026-04-15T08:48:29
C-0000194,23,F,15,Guayabal,sur,True,False,2026-04-15T09:03:25
C-0000195,73,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:38:37
C-0000196,53,F,4,Aranjuez,valle,True,True,2026-04-15T12:07:23
C-0000197,41,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T08:26:06
C-0000198,48,F,16,Belen,sur,True,True,2026-04-15T09:36:20
C-0000199,33,M,4,Aranjuez,valle,True,False,2026-04-15T08:49:35
C-0000200,80,M,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T08:26:35
C-0000201,70,M,14,El Poblado,sur,True,True,2026-04-15T08:29:33
C-0000202,31,M,80,San Antonio de Prado,rural,True,True,2026-04-15T09:47:43
C-0000203,67,M,9,Buenos Aires,ladera_oriente,True,False,2026-04-15T08:03:07
C-0000204,30,M,3,Manrique,ladera_norte,True,False,2026-04-15T10:38:05
C-0000205,48,M,1,Popular,ladera_norte,True,False,2026-04-15T08:25:12
C-0000206,68,M,4,Aranjuez,valle,True,True,2026-04-15T10:01:42
C-0000207,20,F,3,Manrique,ladera_norte,True,True,2026-04-15T08:40:03
C-0000208,66,F,12,La America,centro_sur,True,True,2026-04-15T09:42:11
C-0000209,33,F,3,Manrique,ladera_norte,True,True,2026-04-15T08:14:10
C-0000210,64,F,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T08:26:32
C-0000211,51,M,13,San Javier,ladera_occidente,True,False,2026-04-15T09:08:41
C-0000212,19,F,11,Laureles-Estadio,centro_sur,True,False,2026-04-15T10:59:48
C-0000213,69,M,4,Aranjuez,valle,True,False,2026-04-15T09:37:11
C-0000214,35,M,14,El Poblado,sur,False,True,2026-04-15T09:15:07
C-0000215,81,F,13,San Javier,ladera_occidente,True,True,2026-04-15T10:22:38
C-0000216,74,F,13,San Javier,ladera_occidente,True,True,2026-04-15T12:21:10
C-0000217,30,F,3,Manrique,ladera_norte,True,False,2026-04-15T11:32:50
C-0000218,58,F,3,Manrique,ladera_norte,True,False,2026-04-15T09:30:11
C-0000219,42,No reporta,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T10:02:57
C-0000220,58,M,7,Robledo,ladera_noroccidente,True,True,2026-04-15T08:36:28
C-0000221,55,M,6,Doce de Octubre,ladera_noroccidente,False,False,2026-04-15T11:08:44
C-0000222,37,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T11:47:53
C-0000223,61,M,12,La America,centro_sur,True,True,2026-04-15T11:48:16
C-0000224,35,M,70,Altavista,rural,True,False,2026-04-15T08:32:36
C-0000225,78,F,5,Castilla,valle,False,False,2026-04-15T11:14:39
C-0000226,81,F,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T08:20:26
C-0000227,29,F,1,Popular,ladera_norte,True,True,2026-04-15T07:32:54
C-0000228,66,F,10,La Candelaria,centro,True,True,2026-04-15T11:05:33
C-0000229,80,M,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T09:37:31
C-0000230,26,M,2,Santa Cruz,ladera_norte,True,False,2026-04-15T08:59:26
C-0000231,67,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:01:26
C-0000232,80,M,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T09:35:12
C-0000233,33,F,70,Altavista,rural,True,True,2026-04-15T08:42:53
C-0000234,57,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T09:45:18
C-0000235,71,M,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T07:40:40
C-0000236,40,M,14,El Poblado,sur,False,False,2026-04-15T11:25:03
C-0000237,33,M,9,Buenos Aires,ladera_oriente,True,False,2026-04-15T12:11:05
C-0000238,44,F,14,El Poblado,sur,True,True,2026-04-15T10:22:17
C-0000239,40,M,1,Popular,ladera_norte,True,False,2026-04-15T10:36:18
C-0000240,66,M,2,Santa Cruz,ladera_norte,False,False,2026-04-15T11:12:24
C-0000241,42,M,15,Guayabal,sur,True,False,2026-04-15T09:55:43
C-0000242,43,F,14,El Poblado,sur,True,True,2026-04-15T12:26:14
C-0000243,81,M,5,Castilla,valle,False,False,2026-04-15T08:56:38
C-0000244,56,M,10,La Candelaria,centro,True,False,2026-04-15T11:03:17
C-0000245,80,M,11,Laureles-Estadio,centro_sur,False,False,2026-04-15T08:54:31
C-0000246,65,M,16,Belen,sur,True,False,2026-04-15T08:53:39
C-0000247,77,M,11,Laureles-Estadio,centro_sur,False,False,2026-04-15T09:39:56
C-0000248,31,M,8,Villa Hermosa,ladera_oriente,True,True,2026-04-15T11:20:05
C-0000249,80,M,7,Robledo,ladera_noroccidente,False,False,2026-04-15T09:32:26
C-0000250,81,F,8,Villa Hermosa,ladera_oriente,False,False,2026-04-15T11:44:58
C-0000251,20,F,12,La America,centro_sur,True,True,2026-04-15T09:24:55
C-0000252,41,F,16,Belen,sur,False,False,2026-04-15T09:39:14
C-0000253,45,M,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T10:06:04
C-0000254,46,F,5,Castilla,valle,True,False,2026-04-15T10:47:51
C-0000255,70,F,5,Castilla,valle,False,False,2026-04-15T09:40:49
C-0000256,64,M,13,San Javier,ladera_occidente,True,True,2026-04-15T09:57:07
C-0000257,32,M,15,Guayabal,sur,True,True,2026-04-15T07:48:29
C-0000258,58,F,2,Santa Cruz,ladera_norte,True,False,2026-04-15T08:08:15
C-0000259,83,F,2,Santa Cruz,ladera_norte,False,False,2026-04-15T08:12:04
C-0000260,47,M,11,Laureles-Estadio,centro_sur,True,False,2026-04-15T11:08:38
C-0000261,80,F,3,Manrique,ladera_norte,False,False,2026-04-15T09:20:28
C-0000262,61,F,15,Guayabal,sur,False,False,2026-04-15T09:43:05
C-0000263,79,F,6,Doce de Octubre,ladera_noroccidente,False,False,2026-04-15T10:11:17
C-0000264,78,F,3,Manrique,ladera_norte,False,False,2026-04-15T09:13:55
C-0000265,19,M,16,Belen,sur,True,True,2026-04-15T08:07:31
C-0000266,71,F,3,Manrique,ladera_norte,False,False,2026-04-15T09:50:19
C-0000267,30,F,5,Castilla,valle,True,True,2026-04-15T09:13:14
C-0000268,73,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:24:36
C-0000269,72,F,3,Manrique,ladera_norte,False,False,2026-04-15T10:38:43
C-0000270,35,F,1,Popular,ladera_norte,True,True,2026-04-15T11:17:03
C-0000271,22,M,1,Popular,ladera_norte,False,True,2026-04-15T10:04:11
C-0000272,46,F,4,Aranjuez,valle,True,True,2026-04-15T12:02:36
C-0000273,38,F,1,Popular,ladera_norte,True,False,2026-04-15T12:29:35
C-0000274,55,F,11,Laureles-Estadio,centro_sur,True,True,2026-04-15T10:55:16
C-0000275,23,M,12,La America,centro_sur,False,False,2026-04-15T12:09:29
C-0000276,20,F,7,Robledo,ladera_noroccidente,True,True,2026-04-15T12:28:17
C-0000277,47,M,6,Doce de Octubre,ladera_noroccidente,True,True,2026-04-15T11:40:35
C-0000278,69,M,9,Buenos Aires,ladera_oriente,True,True,2026-04-15T08:17:14
C-0000279,39,M,16,Belen,sur,True,False,2026-04-15T10:51:47
C-0000280,39,M,15,Guayabal,sur,True,True,2026-04-15T08:16:18
C-0000281,28,F,1,Popular,ladera_norte,True,True,2026-04-15T08:58:18
C-0000282,36,M,4,Aranjuez,valle,False,False,2026-04-15T11:27:07
C-0000283,38,M,5,Castilla,valle,True,False,2026-04-15T10:12:14
C-0000284,35,F,5,Castilla,valle,True,True,2026-04-15T10:40:03
C-0000285,41,M,10,La Candelaria,centro,True,True,2026-04-15T09:29:05
C-0000286,36,F,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T11:48:38
C-0000287,63,M,1,Popular,ladera_norte,False,False,2026-04-15T09:14:15
C-0000288,40,M,7,Robledo,ladera_noroccidente,False,False,2026-04-15T10:53:40
C-0000289,68,M,10,La Candelaria,centro,True,True,2026-04-15T11:22:02
C-0000290,58,F,2,Santa Cruz,ladera_norte,True,True,2026-04-15T07:33:46
C-0000291,60,M,15,Guayabal,sur,False,False,2026-04-15T11:43:51
C-0000292,57,M,1,Popular,ladera_norte,True,True,2026-04-15T10:51:48
C-0000293,79,F,50,San Sebastian de Palmitas,rural,False,False,2026-04-15T08:28:59
C-0000294,35,M,2,Santa Cruz,ladera_norte,True,False,2026-04-15T08:33:29
C-0000295,83,M,15,Guayabal,sur,False,False,2026-04-15T07:50:52
C-0000296,31,M,16,Belen,sur,True,True,2026-04-15T09:44:04
C-0000297,27,No reporta,80,San Antonio de Prado,rural,False,False,2026-04-15T07:46:54
C-0000298,73,F,14,El Poblado,sur,False,False,2026-04-15T10:57:27
C-0000299,78,F,14,El Poblado,sur,True,True,2026-04-15T07:51:55
C-0000300,24,F,12,La America,centro_sur,True,True,2026-04-15T10:46:53
C-0000301,58,F,14,El Poblado,sur,True,True,2026-04-15T11:09:39
C-0000302,52,F,3,Manrique,ladera_norte,True,False,2026-04-15T09:24:45
C-0000303,32,M,10,La Candelaria,centro,True,False,2026-04-15T09:14:53
C-0000304,52,F,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T11:03:55
C-0000305,63,M,15,Guayabal,sur,True,True,2026-04-15T12:00:40
C-0000306,56,F,9,Buenos Aires,ladera_oriente,True,False,2026-04-15T12:13:14
C-0000307,52,F,7,Robledo,ladera_noroccidente,True,True,2026-04-15T10:36:34
C-0000308,77,M,12,La America,centro_sur,True,True,2026-04-15T08:39:13
C-0000309,33,M,5,Castilla,valle,True,True,2026-04-15T09:15:27
C-0000310,59,F,3,Manrique,ladera_norte,True,False,2026-04-15T08:05:49
C-0000311,39,M,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T07:38:28
C-0000312,83,F,8,Villa Hermosa,ladera_oriente,True,False,2026-04-15T08:10:30
C-0000313,34,F,5,Castilla,valle,False,False,2026-04-15T11:21:26
C-0000314,76,F,7,Robledo,ladera_noroccidente,True,True,2026-04-15T09:47:16
C-0000315,60,M,7,Robledo,ladera_noroccidente,True,True,2026-04-15T10:20:00
C-0000316,32,F,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T08:59:28
C-0000317,68,M,7,Robledo,ladera_noroccidente,True,True,2026-04-15T07:48:03
C-0000318,34,M,12,La America,centro_sur,True,True,2026-04-15T09:50:14
C-0000319,35,F,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T09:40:08
C-0000320,41,M,60,San Cristobal,rural,True,False,2026-04-15T07:55:18
C-0000321,63,F,16,Belen,sur,True,True,2026-04-15T10:49:03
C-0000322,44,F,9,Buenos Aires,ladera_oriente,False,False,2026-04-15T08:44:04
C-0000323,56,F,6,Doce de Octubre,ladera_noroccidente,True,False,2026-04-15T10:01:37
C-0000324,55,F,10,La Candelaria,centro,True,True,2026-04-15T09:14:08
C-0000325,31,F,15,Guayabal,sur,True,True,2026-04-15T07:58:40
C-0000326,33,F,12,La America,centro_sur,True,True,2026-04-15T12:10:09
C-0000327,38,M,14,El Poblado,sur,False,False,2026-04-15T10:38:06
C-0000328,32,F,10,La Candelaria,centro,True,True,2026-04-15T08:59:06
C-0000329,79,F,11,Laureles-Estadio,centro_sur,True,False,2026-04-15T08:38:20
C-0000330,43,M,5,Castilla,valle,True,True,2026-04-15T07:44:27
C-0000331,45,F,13,San Javier,ladera_occidente,False,False,2026-04-15T11:22:49
C-0000332,63,M,4,Aranjuez,valle,True,True,2026-04-15T09:03:18
C-0000333,70,M,13,San Javier,ladera_occidente,False,False,2026-04-15T08:35:55
C-0000334,64,F,15,Guayabal,sur,True,True,2026-04-15T12:11:03
C-0000335,54,F,3,Manrique,ladera_norte,True,True,2026-04-15T12:29:37
C-0000336,83,F,11,Laureles-Estadio,centro_sur,False,False,2026-04-15T09:38:10
